affiliation1,affiliation2,collaboration
60000765,60028673,6
60028673,60000765,6
60006730,60033270,6
60033270,60006730,6
60006288,60019984,6
60019984,60006288,6
60032330,60092867,6
60092867,60032330,6
60010065,60026175,6
60026175,60010065,6
60001675,60006876,6
60006876,60001675,6
60007278,60007592,6
60007592,60007278,6
60025858,60026851,6
60026851,60025858,6
60017293,60007061,6
60007061,60017293,6
60032361,60001865,6
60001865,60032361,6
60080184,60017592,6
60017592,60080184,6
60017246,60002947,6
60002947,60017246,6
60019118,60019499,6
60019499,60019118,6
60006297,60002947,6
60006297,60024245,6
60002947,60006297,6
60002947,60024245,6
60024245,60006297,6
60024245,60002947,6
60021121,60006164,6
60006164,60021121,6
60028599,60021508,6
60021508,60028599,6
60001563,60021726,6
60021726,60001563,6
60030612,60019722,6
60019722,60030612,6
60002873,60028609,6
60028609,60002873,6
60001439,60015150,6
60015150,60001439,6
60023643,60031875,6
60031875,60023643,6
60022148,60015150,6
60015150,60022148,6
60009037,60029311,6
60029311,60009037,6
60007174,60028609,6
60028609,60007174,6
60008734,60010365,6
60010365,60008734,6
60006739,60008408,6
60008408,60006739,6
60015941,60011116,6
60011116,60015941,6
60007278,60029311,6
60029311,60007278,6
60016114,60014096,6
60014096,60016114,6
60010023,60010365,6
60010365,60010023,6
60012306,60006824,6
60006824,60012306,6
60004354,60011048,6
60011048,60004354,6
60023643,60002798,6
60002798,60023643,6
60032259,60004300,6
60032259,60005686,6
60004300,60032259,6
60004300,60005686,6
60005686,60032259,6
60005686,60004300,6
60005686,60025278,6
60025278,60005686,6
60025778,60099299,6
60099299,60025778,6
60025778,60005145,6
60005145,60025778,6
60028186,60030109,6
60030109,60028186,6
60009253,60007812,5
60007812,60009253,5
60017366,60008592,5
60008592,60017366,5
60025177,60024652,5
60024652,60025177,5
60029526,60016849,5
60016849,60029526,5
60011460,60022195,5
60022195,60011460,5
60020261,60010325,5
60010325,60020261,5
60027950,60027550,5
60027550,60027950,5
60008928,60009254,5
60009254,60008928,5
60009254,60009151,5
