journal_name,publisher_name,authors,title,date,volume,issue,issn,first_page,last_page,keywords,author_info, affiliation_info
ACM Transactions on Database Systems (TODS),ACM,"Shaft, Uri; Ramakrishnan, Raghu",Theory of nearest neighbors indexability,09/01/2006,31,3,0362-5915,814,838,Multidimensional indexing; nearest neighbors,"['Uri Shaft', '81100191141', 'Raghu Ramakrishnan', '81100290062']","['University of Wisconsin-Madison, Madison, WI', '60032179']","['indexing methods', 'multidimensional indexing', 'nearest neighbors', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Jajodia, S.; Mutchler, David",Dynamic voting algorithms for maintaining the consistency of a replicated database,06/01/1990,15,2,0362-5915,230,280,Null,"['S. Jajodia', '81100609407', 'David Mutchler', '81536878956']","['George Mason Univ., Fairfax, VA', '60018319', 'Univ. of Tennessee, Knoxville', '60015574']","['algorithms', 'design', 'distributed databases', 'distributed databases', 'distributed file systems', 'performance', 'reliability', 'reliability, availability, and serviceability']"
ACM Transactions on Database Systems (TODS),ACM,"Wijesekera, Duminda; Jajodia, Sushil; Parisi-Presicce, Francesco; Hagström, Åsa",Removing permissions in the flexible authorization framework,09/01/2003,28,3,0362-5915,209,229,Access control policy; authorization; logic programming,"['Duminda Wijesekera', '81100523578', 'Sushil Jajodia', '81100609407', 'Francesco Parisi-Presicce', '81100397569', 'Åsa Hagström', '81100589812']","['George Mason University, Fairfax, Virginia', '60018319', 'George Mason University, Fairfax, Virginia', '60018319', 'George Mason University, Fairfax, Virginia', '60018319', 'Linköping University, Linköping, Sweden', '60009358']","['access control policy', 'authorization', 'logic programming', 'security', 'security and protection', 'security, integrity, and protection']"
ACM Transactions on Database Systems (TODS),ACM,"Carey, Michael J.; Livny, Miron",Conflict detection tradeoffs for replicated data,12/01/1991,16,4,0362-5915,703,746,concurrency control; replicated data,"['Michael J. Carey', '81100229036', 'Miron Livny', '81100038330']","['Univ. of Wisconsin, Madison', '60032179', 'Univ. of Wisconsin, Madison', '60032179']","['algorithms', 'concurrency', 'concurrency control', 'distributed databases', 'distributed databases', 'experimentation', 'measurement', 'modeling and prediction', 'performance', 'replicated data', 'simulation', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,Null,A clustering algorithm for hierarchical structures,03/01/1977,2,1,0362-5915,27,44,access models; clustering techniques; database design; hierarchical model; hierarchical structures; page faults; storage allocation,[],[],"['access models', 'algorithm design and analysis', 'algorithms', 'clustering', 'clustering techniques', 'database design', 'design', 'hierarchical model', 'hierarchical structures', 'page faults', 'storage allocation', 'storage hierarchies']"
ACM Transactions on Database Systems (TODS),ACM,"Abbadi, A. El; Toueg, S.",Maintaining availability in partitioned replicated databases,06/01/1989,14,2,0362-5915,264,290,Null,"['A. El Abbadi', '81100403960', 'S. Toueg', '81100494489']","['Univ. of California, Santa Barbara', '60029241', 'Cornell Univ., Ithaca, NY', '60007776']","['access methods', 'algorithms', 'design', 'distributed databases', 'distributed databases', 'distributed file systems', 'fault-tolerance', 'performance', 'reliability']"
ACM Transactions on Database Systems (TODS),ACM,"Mumick, Inderpal Singh; Finkelstein, Sheldon J.; Pirahesh, Hamid; Ramakrishnan, Raghu",Magic conditions,03/01/1996,21,1,0362-5915,107,155,Starburst; bottom-up evaluation; constraint logic programming; constraints; deductive databases; magic sets; query optimization; relational databases,"['Inderpal Singh Mumick', '81100176211', 'Sheldon J. Finkelstein', '81100576176', 'Hamid Pirahesh', '81100134285', 'Raghu Ramakrishnan', '81100290062']","['AT&amp;T Bell Labs, Murray Hill, NJ', '60009151', 'IBM Almaden Research Center, San Jose, CA', '60009253', 'Univ. of Wisconsin, Madison', '60032179']","['algorithms', 'bottom-up evaluation', 'constraint logic programming', 'constraints', 'deductive databases', 'magic sets', 'measurement', 'query optimization', 'query processing', 'relational databases', 'starburst', 'theory', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Farrag, Abdel Aziz; Özsu, M. Tamer",Using semantic knowledge of transactions to increase concurrency,12/01/1989,14,4,0362-5915,503,525,Null,"['Abdel Aziz Farrag', '81100438597', 'M. Tamer Özsu', '81384595752']","['Dalhousie Univ., Halifax, N.S., Canada', '60015913', 'Univ. of Alberta, Edmonton, Alta., Canada', '60030835']","['algorithms', 'concurrency', 'design', 'theory', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Obermarck, Ron",Distributed deadlock detection algorithm,06/01/1982,7,2,0362-5915,187,208,Null,"['Ron Obermarck', '81100328311']","['IBM, San Jose, CA', '60021293']","['algorithms', 'deadlocks', 'distributed databases', 'distributed systems', 'systems']"
ACM Transactions on Database Systems (TODS),ACM,"Hudson, Scott E.; King, Roger","Cactis: a self-adaptive, concurrent implementation of an object-oriented database management system",09/01/1989,14,3,0362-5915,291,321,Null,"['Scott E. Hudson', '81328488846', 'Roger King', '81452610630']","['Univ. of Arizona, Tucson', '60010065', 'Univ. of Arizona, Tucson', '60010065']","['algorithms', 'cactis', 'data models', 'design', 'performance']"
ACM Transactions on Database Systems (TODS),ACM,"Kerschberg, Larry; Ting, Peter D.; Yao, S. Bing",Query optimization in star computer networks,12/01/1982,7,4,0362-5915,678,711,query optimization; relational database system; star computer network,"['Larry Kerschberg', '81100261652', 'Peter D. Ting', '81337493984', 'S. Bing Yao', '81332537077']","['Bell Labs, Holmdel, NJ', '60009151', 'Bell Labs, Holmdel, NJ', '60009151', 'Purdue Univ., West Lafayette, IN', '60009254']","['access methods', 'algorithms', 'design', 'design studies', 'distributed applications', 'distributed databases', 'distributed file systems', 'distributed systems', 'modeling techniques', 'performance', 'query optimization', 'relational database system', 'star computer network']"
ACM Transactions on Database Systems (TODS),ACM,"Chrysanthis, Panos K.; Ramamritham, Krithi",Synthesis of extended transaction models using ACTA,09/01/1994,19,3,0362-5915,450,491,concurrency control; correctness criteria; semantics; serializability theory; transaction models,"['Panos K. Chrysanthis', '81331489984', 'Krithi Ramamritham', '81100023686']","['Univ. of Pittsburgh, Pittsburgh, PA', '60015543', 'Univ. of Massachusetts, Amherst', '60014313']","['abstract data types', 'assertions', 'concurrency', 'concurrency control', 'correctness criteria', 'correctness proofs', 'design', 'distributed databases', 'reliability', 'semantics', 'serializability theory', 'theory', 'transaction models', 'transaction processing', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Kuper, Gabriel M.; Vardi, Moshe Y.",The logical data model,09/01/1993,18,3,0362-5915,379,413,Algebra; database schema; logic; relational database; tuple calculus,"['Gabriel M. Kuper', '81339511124', 'Moshe Y. Vardi', '81100371692']","['IBM T. J. Watson Research Center, Yorktown Heights, NY', '60017366', 'IBM Almaden Research Center, San Jose, CA', '60009253']","['algebra', 'data models', 'database schema', 'design', 'languages', 'logic', 'query languages', 'relational database', 'schema and subschema', 'theory', 'tuple calculus']"
ACM Transactions on Database Systems (TODS),ACM,"Ishikawa, Hiroshi; Suzuki, Fumio; Kozakura, Fumihiko; Makinouchi, Akifumi; Miyagishima, Mika; Izumida, Yoshio; Aoshima, Masaaki; Yamane, Yasuo","The model, language, and implementation of an object-oriented multimedia knowledge base management system",03/01/1993,18,1,0362-5915,1,50,Null,"['Hiroshi Ishikawa', '81100353820', 'Fumio Suzuki', '81100183801', 'Fumihiko Kozakura', '81100061349', 'Akifumi Makinouchi', '81100183835', 'Mika Miyagishima', '81100223466', 'Yoshio Izumida', '81100372478', 'Masaaki Aoshima', '81100579160', 'Yasuo Yamane', '81100647490']","['Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951', 'Fujitsu Labs Ltd., Kawasaki, Japan', '60007951']","['applications and expert systems', 'data models', 'design', 'languages', 'query languages', 'representations']"
ACM Transactions on Database Systems (TODS),ACM,"Dreizen, Howard M.; Chang, Shi-Kuo",Imprecise schema: a rationale for relations with embedded subrelations,12/01/1989,14,4,0362-5915,447,479,Null,"['Howard M. Dreizen', '81100445070', 'Shi-Kuo Chang', '81450594673']","['Univ. of Pittsburgh, Pittsburgh, PA', '60015543']","['algorithms', 'data models', 'design', 'query processing', 'schema and subschema', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Ceri, Stefano; Fraternali, Piero; Paraboschi, Stefano; Tanca, Letizia",Automatic generation of production rules for integrity maintenance,09/01/1994,19,3,0362-5915,367,422,automatic generation of production rules,"['Stefano Ceri', '81100606078', 'Piero Fraternali', '81100158817', 'Stefano Paraboschi', '81100004747', 'Letizia Tanca', '81100406308']","['Politecnico di Milano, Milan, Italy', '60023256', 'Politecnico di Milano, Milan, Italy', '60023256', 'Politecnico di Milano, Milan, Italy', '60023256', 'Politecnico di Milano, Milan, Italy', '60023256']","['automatic generation of production rules', 'automatic programming', 'experimentation', 'management', 'security, integrity, and protection']"
ACM Transactions on Database Systems (TODS),ACM,"Muralidhar, Krishnamurty; Sarathy, Rathindra",Security of random data perturbation methods,12/01/1999,24,4,0362-5915,487,493,bias; covariance; noise addition; random data perturbation,"['Krishnamurty Muralidhar', '81100152857', 'Rathindra Sarathy', '81100208019']","['Univ. of Kentucky, Lexington', '60015941', 'Illinois State Univ., Normal', '60031975']","['bias', 'covariance', 'measurement', 'noise addition', 'random data perturbation', 'security', 'security, integrity, and protection', 'statistical databases']"
ACM Transactions on Database Systems (TODS),ACM,"Embley, David W.",NFQL: the natural forms query language,06/01/1989,14,2,0362-5915,168,211,Null,"['David W. Embley', '81452616755']","['Brigham Young Univ., Provo, UT', '60006832']","['algorithms', 'data description languages', 'data manipulation languages', 'data models', 'languages', 'nfql', 'query formulation', 'query languages', 'query processing', 'schema and subschema', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Salem, Kenneth; García-Molina, Héctor; Shands, Jeannie",Altruistic locking,03/01/1994,19,1,0362-5915,117,165,atomicity; locking; scheduling; serializability,"['Kenneth Salem', '81100659627', 'Héctor García-Molina', '81100308969', 'Jeannie Shands', '81100428155']","['Univ. of Maryland, College Park', '60020304', 'Stanford Univ., Stanford, CA', '60012708', 'Univ. of Maryland, College Park', '60020304']","['algorithms', 'atomicity', 'concurrency', 'deadlock avoidance', 'locking', 'performance', 'scheduling', 'serializability', 'theory', 'transaction processing']"
ACM Transactions on Database Systems (TODS),ACM,"Roth, Mark A.; Korth, Herry F.; Silberschatz, Abraham",Extended algebra and calculus for nested relational databases,10/01/1988,13,4,0362-5915,389,417,Null,"['Mark A. Roth', '81339525495', 'Herry F. Korth', '81452606551', 'Abraham Silberschatz', '81410592733']","['Univ. of Texas, Austin', '60013372', 'Univ. of Texas, Austin', '60013372', 'Univ. of Texas, Austin', '60013372']","['data models', 'languages', 'normal forms', 'query languages', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Hou, Wen-Chi; Ozsoyoglu, Gultekin",Processing time-constrained aggregate queries in CASE-DB,06/01/1993,18,2,0362-5915,224,261,estimation; relational algebra; risk of overspending; sampling; selectivity; time constraints,"['Wen-Chi Hou', '81100639918', 'Gultekin Ozsoyoglu', '81100289622']","['Southern Illinois Univ., Carbondale', '60024334', 'Case Western Reserve Univ., Cleveland, OH', '60000305']","['algorithms', 'design', 'estimation', 'performance', 'query processing', 'real time', 'relational algebra', 'risk of overspending', 'sampling', 'selectivity', 'statistical computing', 'theory', 'time constraints']"
ACM Transactions on Database Systems (TODS),ACM,"Gottlob, Georg; Paolini, Paolo; Zicari, Roberto",Properties and update semantics of consistent views,10/01/1988,13,4,0362-5915,486,524,Null,"['Georg Gottlob', '81100270478', 'Paolo Paolini', '81100442123', 'Roberto Zicari', '81330500866']","['Institute for Applied Mathematics, C.N.R., Genoa, Italy and Stanford Univ., Stanford, CA', '60025153', 'Politecnico di Milano, Milan, Italy and A.R.G., Milan, Italy', '60023256', 'Politecnico di Milano, Milan, Italy and Univ. of California, Berkeley', '60023256']","['data models', 'design', 'schema and subschema', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Storey, Veda C.; Goldstein, Robert C.",A methodology for creating user views in database design,09/01/1988,13,3,0362-5915,305,338,Null,"['Veda C. Storey', '81100376761', 'Robert C. Goldstein', '81100321618']","['Univ. of Rochester, Rochester, NY', '60027165', 'Univ. of British Columbia, Vancouver, B.C., Canada', '60010365']","['applications and expert systems', 'database administration', 'design', 'logical design']"
ACM Transactions on Database Systems (TODS),ACM,"Roussopoulos, Nicholas","An incremental access method for ViewCache: concept, algorithms, and cost analysis",09/01/1991,16,3,0362-5915,535,563,terms,"['Nicholas Roussopoulos', '81100510865']","['Univ. of Maryland, College Park', '60020304']","['access methods', 'algorithms', 'design', 'performance', 'query languages', 'terms']"
ACM Transactions on Database Systems (TODS),ACM,"Malvestuto, Francesco M.",A universal-scheme approach to statistical databases containing homogeneous summary tables,12/01/1993,18,4,0362-5915,678,708,bipartite graph; category relation; query-answering system; statistical database; summary table; universal classification scheme,"['Francesco M. Malvestuto', '81100097052']","[""L'Aquila Univ., L'Aquila, Italy"", '60018783']","['bipartite graph', 'category relation', 'data models', 'design', 'graph algorithms', 'integer programming', 'linear programming', 'linear systems', 'network problems', 'query languages', 'query processing', 'query-answering system', 'statistical database', 'summary table', 'theory', 'trees', 'universal classification scheme']"
ACM Transactions on Database Systems (TODS),ACM,"Yan, Tak W.; García-Molina, Héctor",Index structures for selective dissemination of information under the Boolean model,06/01/1994,19,2,0362-5915,332,364,Null,"['Tak W. Yan', '81100044683', 'Héctor García-Molina', '81100308969']","['Stanford Univ., Stanford, CA', '60012708', 'Stanford Univ., Stanford, CA', '60012708']","['access methods', 'algorithms', 'current awareness systems', 'indexing methods', 'performance']"
ACM Transactions on Database Systems (TODS),ACM,"Lehman, Philip L.; Yao, s. Bing",Efficient locking for concurrent operations on B-trees,12/01/1981,6,4,0362-5915,650,670,B-tree; concurrenct algorithms; concurrency controls; consistencey; correctness; data structures; database; index organizations; locking protocols; multiway search trees,"['Philip L. Lehman', '81100021778', 's. Bing Yao', '81332537077']","['Carnegie-Mellon Univ., Pittsburgh, PA', '60027950']","['algorithms', 'b-tree', 'concurrenct algorithms', 'concurrency', 'concurrency controls', 'consistencey', 'correctness', 'data structures', 'database', 'design', 'index organizations', 'locking protocols', 'multiway search trees', 'theory', 'trees']"
ACM Transactions on Database Systems (TODS),ACM,"Yu, C. T.; Meng, W.; Park, S.",A framework for effective retrieval,06/01/1989,14,2,0362-5915,147,167,Null,"['C. T. Yu', '81350588112', 'W. Meng', '81100222888', 'S. Park', '81100161108']","['Univ. of Illinois, Chicago', '60027561', 'Univ. of Illinois, Chicago', '60027561', 'Univ. of Illinois, Chicago', '60027561']","['clustering', 'performance', 'query formulation', 'retrieval models', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Schuldt, Heiko; Alonso, Gustavo; Beeri, Catriel; Schek, Hans-Jörg",Atomicity and isolation for transactional processes,03/01/2002,27,1,0362-5915,63,116,Advanced transaction models; business process management; electronic commerce; execution guarantees; locking; rocesses; semantically rich transactions; transactional workflows; unified theory of concurrency control and recovery,"['Heiko Schuldt', '81100041038', 'Gustavo Alonso', '81100146953', 'Catriel Beeri', '81100193133', 'Hans-Jörg Schek', '81100149904']","['Swiss Federal Institute of Technology (ETH), Zürich, Switzerland', '60023289', 'Swiss Federal Institute of Technology (ETH), Zürich, Switzerland', '60023289', 'The Hebrew University, Jerusalem, Israel', '60007903', 'Swiss Federal Institute of Technology (ETH), Zürich, Switzerland', '60023289']","['advanced transaction models', 'algorithms', 'business process management', 'concurrency', 'correctness proofs', 'design', 'design tools and techniques', 'distributed databases', 'electronic commerce', 'execution guarantees', 'locking', 'logging and recovery', 'reliability', 'reliability', 'rocesses', 'semantically rich transactions', 'transaction processing', 'transactional workflows', 'unified theory of concurrency control and recovery', 'workflow management']"
ACM Transactions on Database Systems (TODS),ACM,"Flesca, Sergio; Furfaro, Filippo; Parisi, Francesco",Querying and repairing inconsistent numerical databases,04/01/2010,35,2,0362-5915,14,Null,Inconsistent databases; aggregate constraints; consistent query answer; repairs,"['Sergio Flesca', '81100567702', 'Filippo Furfaro', '81100561296', 'Francesco Parisi', '81381596843']","['DEIS - Università della Calabria, Rende (CS), Italy', '60020261', 'DEIS - Università della Calabria, Rende (CS), Italy', '60020261', 'DEIS - Università della Calabria, Rende (CS), Italy', '60020261']","['aggregate constraints', 'consistent query answer', 'inconsistent databases', 'miscellaneous', 'numerical algorithms and problems', 'repairs', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Hjaltason, Gisli R.; Samet, Hanan",Index-driven similarity search in metric spaces (Survey Article),12/01/2003,28,4,0362-5915,517,580,Hiearchical metric data structures; distance-based indexing; nearest neighbor queries; range queries; ranking; similarity searching,"['Gisli R. Hjaltason', '81100178111', 'Hanan Samet', '81100139629']","['University of Maryland, College Park, Maryland', '60020304', 'University of Maryland, College Park, Maryland', '60020304']","['algorithms', 'distance-based indexing', 'hiearchical metric data structures', 'image databases', 'multimedia databases', 'nearest neighbor queries', 'query processing', 'range queries', 'ranking', 'similarity searching', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Deligiannakis, Antonios; Garofalakis, Minos; Roussopoulos, Nick",Extended wavelets for multiple measures,06/01/2007,32,2,0362-5915,10,Null,Wavelets; approximate query processing; data synopses,"['Antonios Deligiannakis', '81100423602', 'Minos Garofalakis', '81100428642', 'Nick Roussopoulos', '81100510865']","['University of Athens, Athens, Greece', '60028900', 'Intel Research, Berkeley, CA', '60074754', 'University of Maryland, College Park, MD', '60020304']","['algorithms', 'approximate query processing', 'data synopses', 'experimentation', 'performance', 'query processing', 'wavelets']"
ACM Transactions on Database Systems (TODS),ACM,"Dekhtyar, Alex; Ross, Robert; Subrahmanian, V. S.","Probabilistic temporal databases, I: algebra",03/01/2001,26,1,0362-5915,41,95,Null,"['Alex Dekhtyar', '81100197013', 'Robert Ross', '81339524985', 'V. S. Subrahmanian', '81314485824']","['Univ. of Maryland, College Park', '60020304', 'Univ. of Maryland, College Park', '60020304', 'Univ. of Maryland, College Park', '60020304']","['temporal logic', 'theory', 'uncertainty, fuzzy, and probabilistic reasoning']"
ACM Transactions on Database Systems (TODS),ACM,"Kuo, Dean",Model and verification of a data manager based on ARIES,12/01/1996,21,4,0362-5915,427,479,ARIES; I/O automata; system failures,"['Dean Kuo', '81100454847']","['CSIRO, Canberra, Australia', '60029470']","['aries', 'assertions', 'i/o automata', 'recovery and restart', 'reliability', 'system failures', 'theory', 'transaction processing', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Hernich, André; Libkin, Leonid; Schweikardt, Nicole",Closed world data exchange,05/01/2011,36,2,0362-5915,14,Null,Closed world assumption; canonical universal solution; certain answers; core; databases; maybe answers; null values; the chase,"['André Hernich', '81314494099', 'Leonid Libkin', '81100307839', 'Nicole Schweikardt', '81100312455']","['Humboldt-Universität zu Berlin, Germany', '60000762', 'University of Edinburgh, United Kingdom, Edinburgh, UK', '60027272', 'Goethe-Universität Frankfurt am Main, Germany', '60007762']","['canonical universal solution', 'certain answers', 'closed world assumption', 'core', 'database applications', 'databases', 'maybe answers', 'null values', 'the chase', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Bex, Geert Jan; Neven, Frank; Schwentick, Thomas; Vansummeren, Stijn",Inference of concise regular expressions and DTDs,04/01/2010,35,2,0362-5915,11,Null,Regular expressions; XML; schema inference,"['Geert Jan Bex', '81100207014', 'Frank Neven', '81100091691', 'Thomas Schwentick', '81100274160', 'Stijn Vansummeren', '81324494716']","['Hasselt University and Transnational University of Limburg, Belgium', '60010413', 'Hasselt University and Transnational University of Limburg, Belgium', '60010413', 'Dortmund University, Germany', '60032991', 'Université Libre de Bruxelles, Belgium', '60000145']","['algorithms', 'document preparation', 'formal languages', 'languages', 'learning', 'logical design', 'regular expressions', 'schema inference', 'theory', 'xml']"
ACM Transactions on Database Systems (TODS),ACM,"Iwerks, Glenn S.; Samet, Hanan; Smith, Kenneth P.",Maintenance of K -nn and spatial join queries on continuously moving points,06/01/2006,31,2,0362-5915,485,536, k -nearest neighbor; Moving object databases; continuously moving objects; materialized view maintenance; spatial join; temporal databases,"['Glenn S. Iwerks', '81100128881', 'Hanan Samet', '81100139629', 'Kenneth P. Smith', '81452614025']","['The University of Maryland at College Park/The MITRE Corporation, McLean, VA', '60012564', 'The University of Maryland at College Park, College Park, MD', '60020304', 'The MITRE Corporation, McLean, VA', '60012564']","['k-nearest neighbor', 'algorithms', 'command and control', 'continuously moving objects', 'design', 'experimentation', 'materialized view maintenance', 'measurement', 'moving object databases', 'object representation', 'performance', 'query processing', 'selection process', 'spatial databases and gis', 'spatial join', 'temporal databases', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Angiulli, Fabrizio; Fassetti, Fabio; Palopoli, Luigi",Detecting outlying properties of exceptional objects,04/01/2009,34,1,0362-5915,7,Null,Data mining; knowledge discovery; outlier characterization,"['Fabrizio Angiulli', '81100400419', 'Fabio Fassetti', '81314493715', 'Luigi Palopoli', '81100352139']","['DEIS, Università della Calabria, Rende (CS), Italy', '60020261', 'ICAR-CNR, Rende (CS), Italy', '60010325', 'DEIS, Università della Calabria, Rende (CS), Italy', '60020261']","['algorithms', 'data mining', 'general', 'knowledge discovery', 'management', 'outlier characterization']"
ACM Transactions on Database Systems (TODS),ACM,"Litwin, Witold; Neimat, Marie-Anna; Schneider, Donovan A.","LH*—a scalable, distributed data structure",12/01/1996,21,4,0362-5915,480,525,algorithms; data structures; distributed access methods; extensible hashing; linear hashing,"['Witold Litwin', '81100586462', 'Marie-Anna Neimat', '81450594931', 'Donovan A. Schneider', '81100155642']","['Hewlett-Packard Labs, Palo Alto, CA', '60010574', 'Hewlett-Packard Labs, Palo Alto, CA', '60010574', 'Hewlett-Packard Labs, Palo Alto, CA', '60010574']","['algorithms', 'data structures', 'design', 'distributed access methods', 'extensible hashing', 'hash-table representations', 'linear hashing', 'logical design', 'performance', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Losemann, Katja; Martens, Wim",The complexity of regular expressions and property paths in SPARQL,11/01/2013,38,4,0362-5915,24,Null,Graph databases; query evaluation; regular expressions,"['Katja Losemann', '81548041665', 'Wim Martens', '81100096464']","['University of Bayreuth, Bayreuth, Germany', '60023208', 'University of Bayreuth, Bayreuth, Germany', '60023208']","['general', 'graph databases', 'query evaluation', 'query languages', 'regular expressions', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Soliman, Mohamed A.; Ilyas, Ihab F.; Chang, Kevin Chen--Chuan",Probabilistic top- k and ranking-aggregate queries,08/01/2008,33,3,0362-5915,13,Null,Query processing; aggregation; probabilistic data; ranking; top-k,"['Mohamed A. Soliman', '81100293877', 'Ihab F. Ilyas', '81100281047', 'Kevin Chen--Chuan Chang', '81451592807']","['University of Waterloo, Ontario, Canada', '60014171', 'University of Waterloo, Ontario, Canada', '60014171', 'University of Illinois at Urbana-Champaign, Urbana, IL', '60000745']","['aggregation', 'algorithms', 'design', 'experimentation', 'performance', 'probabilistic data', 'query processing', 'ranking', 'systems', 'top-k']"
ACM Transactions on Database Systems (TODS),ACM,"Zobel, Justin; Moffat, Alistair; Ramamohanarao, Kotagiri",Inverted files versus signature files for text indexing,12/01/1998,23,4,0362-5915,453,490,indexing; inverted files; performance; signature files; text databases; text indexing,"['Justin Zobel', '81100029320', 'Alistair Moffat', '81100200925', 'Kotagiri Ramamohanarao', '81100532239']","['RMIT, Melbourne, Australia', '60011362', 'The Univ. of Melbourne, Parkville, Victoria, Australia', '60026553', 'The Univ. of Melbourne, Parkville, Victoria, Australia', '60026553']","['algorithms', 'index generation', 'indexing', 'inverted files', 'performance', 'performance', 'signature files', 'text databases', 'text indexing']"
ACM Transactions on Database Systems (TODS),ACM,"Fagin, Ronald; Kolaitis, Phokion G.; Popa, Lucian; Tan, Wang-Chiew",Reverse data exchange: Coping with nulls,05/01/2011,36,2,0362-5915,11,Null,Schema mapping; chase; data exchange; data integration; inverse; maximum recovery; model management; quasi-inverse,"['Ronald Fagin', '81100578906', 'Phokion G. Kolaitis', '81100081186', 'Lucian Popa', '81100150220', 'Wang-Chiew Tan', '81351605904']","['IBM Research - Almaden', '60011048', 'UC Santa Cruz and IBM Research - Almaden', '60011048', 'IBM Research - Almaden', '60011048', 'IBM Research - Almaden and UC Santa Cruz', '60011048']","['algorithms', 'chase', 'data exchange', 'data integration', 'inverse', 'maximum recovery', 'model management', 'quasi-inverse', 'relational databases', 'schema mapping', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Yi, Ke; Li, Feifei; Cormode, Graham; Hadjieleftheriou, Marios; Kollios, George; Srivastava, Divesh",Small synopses for group-by query verification on outsourced data streams,08/01/2009,34,3,0362-5915,15,Null,Synopses; data streams; outsourcing,"['Ke Yi', '81100168744', 'Feifei Li', '81100475711', 'Graham Cormode', '81100135281', 'Marios Hadjieleftheriou', '81100283878', 'George Kollios', '81339510233', 'Divesh Srivastava', '81100062835']","['Hong Kong University of Science and Technology, Hong Kong, China', '60008592', 'Florida State University, Tallahassee, FL', '60002092', 'AT&amp;T; Labs——Research, Florham Park, NJ', '60008383', 'AT&amp;T; Labs——Research, Florham Park, NJ', '60008383', 'Boston University, Boston, MA', '60019674', 'AT&amp;T; Labs——Research, Florham Park, NJ', '60008383']","['algorithms', 'data streams', 'outsourcing', 'security', 'security, integrity, and protection', 'synopses', 'verification']"
ACM Transactions on Database Systems (TODS),ACM,"Cautis, Bogdan; Deutsch, Alin; Onose, Nicola; Vassalos, Vasilis",Querying XML data sources that export very large sets of views,03/01/2011,36,1,0362-5915,5,Null,Query rewriting; XML; limited capabilities; semi-structured data; views,"['Bogdan Cautis', '81100020698', 'Alin Deutsch', '81100238997', 'Nicola Onose', '81331500639', 'Vasilis Vassalos', '81313483338']","['Télécom ParisTech, CNRS LTCI, Paris, France', '60072950', 'University of California, San Diego, CA', '60030612', 'University of California, Irvine, CA', '60007278', 'Athens University of Economics and Business, Athens GR, Greece', '60019507']","['algorithms', 'distributed databases', 'limited capabilities', 'query languages', 'query processing', 'query rewriting', 'semi-structured data', 'theory', 'views', 'xml']"
ACM Transactions on Database Systems (TODS),ACM,"Ivanova, Milena G.; Kersten, Martin L.; Nes, Niels J.; Gonçalves, Romulo A.P.",An architecture for recycling intermediates in a column-store,11/01/2010,35,4,0362-5915,24,Null,Caching; column-stores; database kernels,"['Milena G. Ivanova', '81100244671', 'Martin L. Kersten', '81337490480', 'Niels J. Nes', '81100001972', 'Romulo A.P. Gonçalves', '81388594630']","['Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575', 'Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575', 'Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575', 'Centrum Wiskunde &amp; Informatica, The Netherlands', '60011575']","['caching', 'column-stores', 'database kernels', 'design', 'management', 'performance', 'query processing']"
ACM Transactions on Database Systems (TODS),ACM,"Rusu, Florin; Dobra, Alin",Pseudo-random number generation for sketch-based estimations,06/01/2007,32,2,0362-5915,11,Null,Sketches; approximate query processing; data synopses; fast range-summation,"['Florin Rusu', '81331502874', 'Alin Dobra', '81100030224']","['University of Florida, Gainesville, FL', '60013959', 'University of Florida, Gainesville, FL', '60013959']","['algorithms', 'approximate query processing', 'data synopses', 'experimentation', 'fast range-summation', 'performance', 'query processing', 'random number generation', 'sketches', 'theory']"
