journal_name,publisher_name,authors,title,date,volume,issue,issn,first_page,last_page,keywords,author_info, affiliation_info
ACM Transactions on Database Systems (TODS),ACM,"Levene, Mark; Loizou, George",Database design for incomplete relations,03/01/1999,24,1,0362-5915,80,126,additivity problem; complexity; dependency preserving decomposition; incomplete information; intersection property; lossless join decomposition; monodependence; normal forms; null functional dependencies; optimum cover; prime attribute problem; split-freeness property; superkey of cardinality k problem,"['Mark Levene', '81100320696', 'George Loizou', '81337491440']","['Department of Computer Science, University College London, Gower Street, London, WC1E 6BT, U.K.', '60022148', 'Department of Computer Science, Birkbeck College, Malet Street, London', '60009016']","['additivity problem', 'complexity', 'data models', 'dependency preserving decomposition', 'design', 'incomplete information', 'intersection property', 'lossless join decomposition', 'monodependence', 'normal forms', 'normal forms', 'null functional dependencies', 'optimum cover', 'prime attribute problem', 'split-freeness property', 'superkey of cardinality k problem', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Wyss, Catharine M.; Robertson, Edward L.",Relational languages for metadata integration,06/01/2005,30,2,0362-5915,624,660,Data integration; federated data model; federated databases; interoperability; metadata integration; metadata querying; multidatabases; relational query algebra; schema integration; transformational completeness,"['Catharine M. Wyss', '81100061871', 'Edward L. Robertson', '81100303672']","['Indiana University, Bloomington, IN', '60021121', 'Indiana University, Bloomington, IN', '60021121']","['data integration', 'data models', 'federated data model', 'federated databases', 'interoperability', 'languages', 'metadata integration', 'metadata querying', 'multidatabases', 'query languages', 'relational query algebra', 'schema integration', 'transformational completeness']"
ACM Transactions on Database Systems (TODS),ACM,"Vincent, Millist W.; Liu, Jixue; Liu, Chengfei",Strong functional dependencies and their application to normal forms in XML,09/01/2004,29,3,0362-5915,445,462,XML; functional dependency; normalization,"['Millist W. Vincent', '81100122234', 'Jixue Liu', '81100542764', 'Chengfei Liu', '81452598185']","['University of South Australia, Adelaide, SA, Australia', '60031846', 'University of South Australia, Adelaide, SA, Australia', '60031846', 'University of South Australia, Adelaide, SA, Australia', '60031846']","['data description languages', 'data models', 'design', 'functional dependency', 'management', 'normal forms', 'normalization', 'schema and subschema', 'theory', 'xml']"
ACM Transactions on Database Systems (TODS),ACM,"Abiteboul, Serge; Chan, T.-H. HUBERT; Kharlamov, Evgeny; Nutt, Werner; Senellart, Pierre",Capturing continuous data and answering aggregate queries in probabilistic XML,12/01/2011,36,4,0362-5915,25,Null,Aggregate queries; XML; aggregation; continuous distributions; probabilistic XML; probabilistic databases,"['Serge Abiteboul', '81100200659', 'T.-H. HUBERT Chan', '81309497379', 'Evgeny Kharlamov', '81388591832', 'Werner Nutt', '81100373965', 'Pierre Senellart', '81350590924']","['INRIA Saclay -- Île-de-France &amp; LSV, ENS Cachan, Orsay Cedex, France', '60004981', 'The University of Hong Kong, Pokfulam Road, Hong Kong', '60006541', 'Free University of Bozen-Bolzano &amp; INRIA Saclay -- ÎÎle-de-France, Bolzano, Italy', '60009914', 'Free University of Bozen-Bolzano, Bolzano, Italy', '60009914', 'Institut Télécom; Télécom ParisTech; CNRS LTCI, Paris, France', '60072950']","['aggregate queries', 'aggregation', 'algorithms', 'continuous distributions', 'data models', 'probabilistic databases', 'probabilistic xml', 'query languages', 'theory', 'xml']"
ACM Transactions on Database Systems (TODS),ACM,"Dey, Debabrata; Storey, Veda C.; Barron, Terence M.",Improving database design through the analysis of relationships,12/01/1999,24,4,0362-5915,453,486,ER model; conceptual model; integrity constraint; min-max cardinality; relationship degree; weak relationship,"['Debabrata Dey', '81100327360', 'Veda C. Storey', '81100376761', 'Terence M. Barron', '81100630758']","['Univ. of Washington, Seattle', '60015481', 'Georgia State Univ., Atlanta', '60012387', 'Univ. of Toledo, Toledo, OH', '60021624']","['conceptual model', 'data models', 'design', 'er model', 'general', 'integrity constraint', 'min-max cardinality', 'relationship degree', 'security, integrity, and protection', 'weak relationship']"
ACM Transactions on Database Systems (TODS),ACM,"Parsons, Jeffrey; Wand, Yair",Emancipating instances from the tyranny of classes in information modeling,06/01/2000,25,2,0362-5915,228,268,classification; conceptual modeling; database design; interoperability; ontology; schema evolution; schema integration,"['Jeffrey Parsons', '81100131987', 'Yair Wand', '81100071963']","['Memorial Univ. of Newfoundland, St. Johns, Nfld., Canada', '60019000', 'Univ. of British Columbia, Vancouver, B.C., Canada', '60010365']","['classification', 'conceptual modeling', 'data models', 'database design', 'design', 'interoperability', 'management', 'ontology', 'schema and subschema', 'schema evolution', 'schema integration', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Eiter, Thomas; Lu, James J.; Lukasiewicz, Thomas; Subrahmanian, V. S.",Probabilistic object bases,09/01/2001,26,3,0362-5915,264,312,Consistency; object-oriented database; probabilistic object algebra; probabilistic object base; probability; query language; query optimization,"['Thomas Eiter', '81330490221', 'James J. Lu', '81451596315', 'Thomas Lukasiewicz', '81100494059', 'V. S. Subrahmanian', '81314485824']","['Technische Universität Wien, Wien, Austria', '60018163', 'Bucknell University, Lewisburg, PA', '60020426', 'Technische Universität Wien, Wien, Austria', '60018163', 'University of Maryland, College Park', '60020304']","['algorithms', 'consistency', 'data models', 'languages', 'object-oriented database', 'object-oriented databases', 'performance', 'probabilistic object algebra', 'probabilistic object base', 'probability', 'query language', 'query languages', 'query optimization', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"May, Wolfgang; Ludäscher, Bertram",Understanding the global semantics of referential actions using logic rules,12/01/2002,27,4,0362-5915,343,397,Database theory; game theory; logic programming; referential actions; referential integrity; relational databases,"['Wolfgang May', '81100190432', 'Bertram Ludäscher', '81100487164']","['Institut für Informatik, Universität Freiburg, Freiburg, Germany', '60025641', 'San Diego Supercomputer Center, University of California San Diego, La Jolla, CA', '60025135']","['algorithms', 'data models', 'database theory', 'game theory', 'logic and constraint programming', 'logic programming', 'referential actions', 'referential integrity', 'relational databases', 'relational databases', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Lee, Tony T.; Ye, Tong",A relational approach to functional decomposition of logic circuits,05/01/2011,36,2,0362-5915,13,Null,Functional decomposition; functional dependency (FD); multivalued dependency (MVD); partition; relational data model,"['Tony T. Lee', '81100385123', 'Tong Ye', '81485642445']","['The Chinese University of Hong Kong and Shanghai Jiao Tong University, Shatin, N.T., China', '60002798', 'Shanghai Jiao Tong University, Shanghai, China', '60025084']","['algorithms', 'data models', 'functional decomposition', 'functional dependency', 'multivalued dependency', 'normal forms', 'partition', 'relational data model', 'schema and subschema', 'theory']"
ACM Transactions on Database Systems (TODS),ACM,"Ng, Wilfred",An extension of the relational data model to incorporate ordered domains,09/01/2001,26,3,0362-5915,344,383,Axiom system; chase rules; implication problem; language expressiveness; lexicographical ordering; mixed ordering; nonuniform completeness; order-preserving database automorphism; ordered SQL; ordered functional dependencies; ordered relational model; ordered relations; partially ordered domains; partially ordered relational algebra; pointwise ordering; tableaux; valuation mapping,"['Wilfred Ng', '81423593726']","['The Hong Kong University of Science and Technology, Clearwater Bay, Hong Kong', '60008592']","['axiom system', 'chase rules', 'data models', 'design', 'implication problem', 'language expressiveness', 'languages', 'lexicographical ordering', 'mixed ordering', 'nonuniform completeness', 'order-preserving database automorphism', 'ordered functional dependencies', 'ordered relational model', 'ordered relations', 'ordered sql', 'partially ordered domains', 'partially ordered relational algebra', 'pointwise ordering', 'query languages', 'relational databases', 'tableaux', 'theory', 'valuation mapping']"
